territory,year,population,type,capacity,score
Calabria,2019,adulti,servizi,vita_sicura,-0.42
Campania,2019,adulti,servizi,vita_sicura,0.029
Emilia-Romagna,2019,adulti,servizi,vita_sicura,0.968
Friuli-Venezia Giulia,2019,adulti,servizi,vita_sicura,0.308
Lazio,2019,adulti,servizi,vita_sicura,-0.971
Liguria,2019,adulti,servizi,vita_sicura,0.015
Lombardia,2019,adulti,servizi,vita_sicura,-0.352
Marche,2019,adulti,servizi,vita_sicura,1.047
Molise,2019,adulti,servizi,vita_sicura,-0.6
Piemonte,2019,adulti,servizi,vita_sicura,-0.994
Puglia,2019,adulti,servizi,vita_sicura,-0.676
Sardegna,2019,adulti,servizi,vita_sicura,0.45
Sicilia,2019,adulti,servizi,vita_sicura,0.168
Toscana,2019,adulti,servizi,vita_sicura,0.178
Trentino-Alto Adige/Südtirol,2019,adulti,servizi,vita_sicura,0.182
Umbria,2019,adulti,servizi,vita_sicura,0.696
Valle d'Aosta/Vallée d'Aoste,2019,adulti,servizi,vita_sicura,0.83
Veneto,2019,adulti,servizi,vita_sicura,0.195
Abruzzo,2019,bambini,servizi,cura,-0.537
Basilicata,2019,bambini,servizi,cura,-0.337
Calabria,2019,bambini,servizi,cura,-0.814
Campania,2019,bambini,servizi,cura,-1.084
Emilia-Romagna,2019,bambini,servizi,cura,0.538
Friuli-Venezia Giulia,2019,bambini,servizi,cura,0.114
Lazio,2019,bambini,servizi,cura,-0.643
Liguria,2019,bambini,servizi,cura,1.116
Lombardia,2019,bambini,servizi,cura,-0.37
Marche,2019,bambini,servizi,cura,-0.032
Molise,2019,bambini,servizi,cura,-0.192
Piemonte,2019,bambini,servizi,cura,0.734
Puglia,2019,bambini,servizi,cura,-0.67
Sardegna,2019,bambini,servizi,cura,0.22
Sicilia,2019,bambini,servizi,cura,-0.216
Toscana,2019,bambini,servizi,cura,0.46
Trentino-Alto Adige/Südtirol,2019,bambini,servizi,cura,0.055
Umbria,2019,bambini,servizi,cura,0.689
Valle d'Aosta/Vallée d'Aoste,2019,bambini,servizi,cura,0.512
Veneto,2019,bambini,servizi,cura,0.458
Abruzzo,2019,bambini,servizi,vita_sana,0.68
Basilicata,2019,bambini,servizi,vita_sana,-0.336
Calabria,2019,bambini,servizi,vita_sana,-0.023
Campania,2019,bambini,servizi,vita_sana,-0.769
Emilia-Romagna,2019,bambini,servizi,vita_sana,0.353
Friuli-Venezia Giulia,2019,bambini,servizi,vita_sana,-0.925
Lazio,2019,bambini,servizi,vita_sana,0.384
Liguria,2019,bambini,servizi,vita_sana,-0.175
Lombardia,2019,bambini,servizi,vita_sana,-0.823
Marche,2019,bambini,servizi,vita_sana,-0.486
Molise,2019,bambini,servizi,vita_sana,-0.386
Piemonte,2019,bambini,servizi,vita_sana,-0.929
Puglia,2019,bambini,servizi,vita_sana,0.09
Sardegna,2019,bambini,servizi,vita_sana,1.298
Sicilia,2019,bambini,servizi,vita_sana,0.328
Toscana,2019,bambini,servizi,vita_sana,1.01
Trentino-Alto Adige/Südtirol,2019,bambini,servizi,vita_sana,-0.344
Umbria,2019,bambini,servizi,vita_sana,0.353
Valle d'Aosta/Vallée d'Aoste,2019,bambini,servizi,vita_sana,1.265
Veneto,2019,bambini,servizi,vita_sana,-0.567
Abruzzo,2019,totale,servizi,totale,-0.369
Basilicata,2019,totale,servizi,totale,-0.345
Calabria,2019,totale,servizi,totale,-0.743
Campania,2019,totale,servizi,totale,-0.8
Emilia-Romagna,2019,totale,servizi,totale,0.928
Friuli-Venezia Giulia,2019,totale,servizi,totale,0.32
Lazio,2019,totale,servizi,totale,-0.192
Liguria,2019,totale,servizi,totale,0.272
Lombardia,2019,totale,servizi,totale,-0.15
Marche,2019,totale,servizi,totale,-0.073
Molise,2019,totale,servizi,totale,0.079
Piemonte,2019,totale,servizi,totale,-0.041
Puglia,2019,totale,servizi,totale,-0.585
Sardegna,2019,totale,servizi,totale,0.44
Sicilia,2019,totale,servizi,totale,-0.48
Toscana,2019,totale,servizi,totale,0.351
Trentino-Alto Adige/Südtirol,2019,totale,servizi,totale,0.263
Umbria,2019,totale,servizi,totale,0.33
Valle d'Aosta/Vallée d'Aoste,2019,totale,servizi,totale,0.295
Veneto,2019,totale,servizi,totale,0.5
Abruzzo,2019,totale,totale,totale,-0.359
Basilicata,2019,totale,totale,totale,-0.314
Calabria,2019,totale,totale,totale,-0.822
Campania,2019,totale,totale,totale,-1.023
Emilia-Romagna,2019,totale,totale,totale,0.792
Friuli-Venezia Giulia,2019,totale,totale,totale,0.551
Lazio,2019,totale,totale,totale,-0.039
Liguria,2019,totale,totale,totale,0.192
Lombardia,2019,totale,totale,totale,0.169
Marche,2019,totale,totale,totale,0.059
Molise,2019,totale,totale,totale,0.01
Piemonte,2019,totale,totale,totale,0.093
Puglia,2019,totale,totale,totale,-0.808
Sardegna,2019,totale,totale,totale,0.03
Sicilia,2019,totale,totale,totale,-0.831
Toscana,2019,totale,totale,totale,0.339
Trentino-Alto Adige/Südtirol,2019,totale,totale,totale,0.685
Umbria,2019,totale,totale,totale,0.279
Valle d'Aosta/Vallée d'Aoste,2019,totale,totale,totale,0.26
Veneto,2019,totale,totale,totale,0.563
Abruzzo,2020,adulti,rischio,accedere_risorse,-0.065
Basilicata,2020,adulti,rischio,accedere_risorse,-0.485
Calabria,2020,adulti,rischio,accedere_risorse,-0.972
Campania,2020,adulti,rischio,accedere_risorse,-1.532
Emilia-Romagna,2020,adulti,rischio,accedere_risorse,0.786
Friuli-Venezia Giulia,2020,adulti,rischio,accedere_risorse,0.607
Lazio,2020,adulti,rischio,accedere_risorse,-0.251
Liguria,2020,adulti,rischio,accedere_risorse,0.46
Lombardia,2020,adulti,rischio,accedere_risorse,0.766
Marche,2020,adulti,rischio,accedere_risorse,0.087
Molise,2020,adulti,rischio,accedere_risorse,-0.349
Piemonte,2020,adulti,rischio,accedere_risorse,0.49
Puglia,2020,adulti,rischio,accedere_risorse,-0.523
Sardegna,2020,adulti,rischio,accedere_risorse,-1.079
Sicilia,2020,adulti,rischio,accedere_risorse,-1.194
Toscana,2020,adulti,rischio,accedere_risorse,0.515
Trentino-Alto Adige/Südtirol,2020,adulti,rischio,accedere_risorse,0.381
Umbria,2020,adulti,rischio,accedere_risorse,-0.042
Valle d'Aosta/Vallée d'Aoste,2020,adulti,rischio,accedere_risorse,0.846
Veneto,2020,adulti,rischio,accedere_risorse,0.952
Abruzzo,2020,adulti,rischio,conoscenza_sapere,-0.016
Basilicata,2020,adulti,rischio,conoscenza_sapere,-0.542
Calabria,2020,adulti,rischio,conoscenza_sapere,-1.993
Campania,2020,adulti,rischio,conoscenza_sapere,-1.743
Emilia-Romagna,2020,adulti,rischio,conoscenza_sapere,0.692
Friuli-Venezia Giulia,2020,adulti,rischio,conoscenza_sapere,0.792
Lazio,2020,adulti,rischio,conoscenza_sapere,0.751
Liguria,2020,adulti,rischio,conoscenza_sapere,0.81
Lombardia,2020,adulti,rischio,conoscenza_sapere,0.715
Marche,2020,adulti,rischio,conoscenza_sapere,0.051
Molise,2020,adulti,rischio,conoscenza_sapere,-0.123
Piemonte,2020,adulti,rischio,conoscenza_sapere,0.718
Puglia,2020,adulti,rischio,conoscenza_sapere,-1.295
Sardegna,2020,adulti,rischio,conoscenza_sapere,-0.717
Sicilia,2020,adulti,rischio,conoscenza_sapere,-1.483
Toscana,2020,adulti,rischio,conoscenza_sapere,0.194
Trentino-Alto Adige/Südtirol,2020,adulti,rischio,conoscenza_sapere,1.112
Umbria,2020,adulti,rischio,conoscenza_sapere,0.508
Valle d'Aosta/Vallée d'Aoste,2020,adulti,rischio,conoscenza_sapere,1.036
Veneto,2020,adulti,rischio,conoscenza_sapere,0.532
Abruzzo,2020,adulti,rischio,cura,-0.194
Basilicata,2020,adulti,rischio,cura,0.331
Calabria,2020,adulti,rischio,cura,-0.26
Campania,2020,adulti,rischio,cura,-1.821
Emilia-Romagna,2020,adulti,rischio,cura,0.464
Friuli-Venezia Giulia,2020,adulti,rischio,cura,0.477
Lazio,2020,adulti,rischio,cura,-0.442
Liguria,2020,adulti,rischio,cura,0.276
Lombardia,2020,adulti,rischio,cura,0.512
Marche,2020,adulti,rischio,cura,0.097
Molise,2020,adulti,rischio,cura,-0.154
Piemonte,2020,adulti,rischio,cura,0.123
Puglia,2020,adulti,rischio,cura,-0.792
Sardegna,2020,adulti,rischio,cura,0.359
Sicilia,2020,adulti,rischio,cura,-1.235
Toscana,2020,adulti,rischio,cura,0.259
Trentino-Alto Adige/Südtirol,2020,adulti,rischio,cura,0.807
Umbria,2020,adulti,rischio,cura,0.198
Valle d'Aosta/Vallée d'Aoste,2020,adulti,rischio,cura,0.468
Veneto,2020,adulti,rischio,cura,0.526
Abruzzo,2020,adulti,rischio,lavorare,-0.273
Basilicata,2020,adulti,rischio,lavorare,-0.65
Calabria,2020,adulti,rischio,lavorare,-1.555
Campania,2020,adulti,rischio,lavorare,-1.636
Emilia-Romagna,2020,adulti,rischio,lavorare,0.981
Friuli-Venezia Giulia,2020,adulti,rischio,lavorare,0.831
Lazio,2020,adulti,rischio,lavorare,-0.233
Liguria,2020,adulti,rischio,lavorare,0.332
Lombardia,2020,adulti,rischio,lavorare,0.735
Marche,2020,adulti,rischio,lavorare,0.554
Molise,2020,adulti,rischio,lavorare,-0.518
Piemonte,2020,adulti,rischio,lavorare,0.405
Puglia,2020,adulti,rischio,lavorare,-0.702
Sardegna,2020,adulti,rischio,lavorare,-0.681
Sicilia,2020,adulti,rischio,lavorare,-1.895
Toscana,2020,adulti,rischio,lavorare,0.733
Trentino-Alto Adige/Südtirol,2020,adulti,rischio,lavorare,1.438
Umbria,2020,adulti,rischio,lavorare,0.241
Valle d'Aosta/Vallée d'Aoste,2020,adulti,rischio,lavorare,0.928
Veneto,2020,adulti,rischio,lavorare,0.964
Abruzzo,2020,adulti,rischio,vita_sana,0.121
Basilicata,2020,adulti,rischio,vita_sana,-0.333
Calabria,2020,adulti,rischio,vita_sana,-0.199
Campania,2020,adulti,rischio,vita_sana,-0.257
Emilia-Romagna,2020,adulti,rischio,vita_sana,-0.015
Friuli-Venezia Giulia,2020,adulti,rischio,vita_sana,0.323
Lazio,2020,adulti,rischio,vita_sana,0.275
Liguria,2020,adulti,rischio,vita_sana,0.528
Lombardia,2020,adulti,rischio,vita_sana,0.509
Marche,2020,adulti,rischio,vita_sana,-0.647
Molise,2020,adulti,rischio,vita_sana,0.617
Piemonte,2020,adulti,rischio,vita_sana,-0.545
Puglia,2020,adulti,rischio,vita_sana,0.087
Sardegna,2020,adulti,rischio,vita_sana,-0.243
Sicilia,2020,adulti,rischio,vita_sana,0.206
Toscana,2020,adulti,rischio,vita_sana,-0.246
Trentino-Alto Adige/Südtirol,2020,adulti,rischio,vita_sana,0.686
Umbria,2020,adulti,rischio,vita_sana,-0.594
Valle d'Aosta/Vallée d'Aoste,2020,adulti,rischio,vita_sana,-0.683
Veneto,2020,adulti,rischio,vita_sana,0.41
Abruzzo,2020,adulti,rischio,vita_sicura,-0.242
Basilicata,2020,adulti,rischio,vita_sicura,-0.514
Calabria,2020,adulti,rischio,vita_sicura,-0.486
Campania,2020,adulti,rischio,vita_sicura,-1.066
Emilia-Romagna,2020,adulti,rischio,vita_sicura,0.224
Friuli-Venezia Giulia,2020,adulti,rischio,vita_sicura,0.678
Lazio,2020,adulti,rischio,vita_sicura,-0.591
Liguria,2020,adulti,rischio,vita_sicura,0.35
Lombardia,2020,adulti,rischio,vita_sicura,0.249
Marche,2020,adulti,rischio,vita_sicura,0.139
Molise,2020,adulti,rischio,vita_sicura,-0.546
Piemonte,2020,adulti,rischio,vita_sicura,0.256
Puglia,2020,adulti,rischio,vita_sicura,-0.673
Sardegna,2020,adulti,rischio,vita_sicura,0.341
Sicilia,2020,adulti,rischio,vita_sicura,-0.297
Toscana,2020,adulti,rischio,vita_sicura,0.265
Trentino-Alto Adige/Südtirol,2020,adulti,rischio,vita_sicura,1.248
Umbria,2020,adulti,rischio,vita_sicura,0.202
Valle d'Aosta/Vallée d'Aoste,2020,adulti,rischio,vita_sicura,0.203
Veneto,2020,adulti,rischio,vita_sicura,0.26
Abruzzo,2020,bambini,rischio,vita_sana,-0.68
Basilicata,2020,bambini,rischio,vita_sana,-0.554
Calabria,2020,bambini,rischio,vita_sana,-0.12
Campania,2020,bambini,rischio,vita_sana,-0.58
Emilia-Romagna,2020,bambini,rischio,vita_sana,0.459
Friuli-Venezia Giulia,2020,bambini,rischio,vita_sana,0.6
Lazio,2020,bambini,rischio,vita_sana,0.527
Liguria,2020,bambini,rischio,vita_sana,0.092
Lombardia,2020,bambini,rischio,vita_sana,0.085
Marche,2020,bambini,rischio,vita_sana,0.672
Molise,2020,bambini,rischio,vita_sana,-0.812
Piemonte,2020,bambini,rischio,vita_sana,0.32
Puglia,2020,bambini,rischio,vita_sana,-0.937
Sardegna,2020,bambini,rischio,vita_sana,-0.72
Sicilia,2020,bambini,rischio,vita_sana,-0.986
Toscana,2020,bambini,rischio,vita_sana,0.48
Trentino-Alto Adige/Südtirol,2020,bambini,rischio,vita_sana,0.928
Umbria,2020,bambini,rischio,vita_sana,0.276
Valle d'Aosta/Vallée d'Aoste,2020,bambini,rischio,vita_sana,0.754
Veneto,2020,bambini,rischio,vita_sana,0.194
Abruzzo,2020,totale,rischio,totale,-0.193
Basilicata,2020,totale,rischio,totale,-0.392
Calabria,2020,totale,rischio,totale,-0.798
Campania,2020,totale,rischio,totale,-1.234
Emilia-Romagna,2020,totale,rischio,totale,0.513
Friuli-Venezia Giulia,2020,totale,rischio,totale,0.615
Lazio,2020,totale,rischio,totale,0.005
Liguria,2020,totale,rischio,totale,0.407
Lombardia,2020,totale,rischio,totale,0.51
Marche,2020,totale,rischio,totale,0.136
Molise,2020,totale,rischio,totale,-0.269
Piemonte,2020,totale,rischio,totale,0.252
Puglia,2020,totale,rischio,totale,-0.691
Sardegna,2020,totale,rischio,totale,-0.391
Sicilia,2020,totale,rischio,totale,-0.983
Toscana,2020,totale,rischio,totale,0.314
Trentino-Alto Adige/Südtirol,2020,totale,rischio,totale,0.943
Umbria,2020,totale,rischio,totale,0.113
Valle d'Aosta/Vallée d'Aoste,2020,totale,rischio,totale,0.507
Veneto,2020,totale,rischio,totale,0.548
Abruzzo,2020,adulti,servizi,accedere_risorse,-0.91
Basilicata,2020,adulti,servizi,accedere_risorse,-0.835
Calabria,2020,adulti,servizi,accedere_risorse,-0.771
Campania,2020,adulti,servizi,accedere_risorse,-0.91
Emilia-Romagna,2020,adulti,servizi,accedere_risorse,1.146
Friuli-Venezia Giulia,2020,adulti,servizi,accedere_risorse,1.561
Lazio,2020,adulti,servizi,accedere_risorse,-0.202
Liguria,2020,adulti,servizi,accedere_risorse,-0.448
Lombardia,2020,adulti,servizi,accedere_risorse,0.194
Marche,2020,adulti,servizi,accedere_risorse,0.249
Molise,2020,adulti,servizi,accedere_risorse,-0.298
Piemonte,2020,adulti,servizi,accedere_risorse,0.22
Puglia,2020,adulti,servizi,accedere_risorse,-0.609
Sardegna,2020,adulti,servizi,accedere_risorse,0.253
Sicilia,2020,adulti,servizi,accedere_risorse,-0.927
Toscana,2020,adulti,servizi,accedere_risorse,0.122
Trentino-Alto Adige/Südtirol,2020,adulti,servizi,accedere_risorse,2.491
Umbria,2020,adulti,servizi,accedere_risorse,-0.217
Valle d'Aosta/Vallée d'Aoste,2020,adulti,servizi,accedere_risorse,-0.836
Veneto,2020,adulti,servizi,accedere_risorse,0.729
Abruzzo,2020,adulti,servizi,conoscenza_sapere,0.155
Basilicata,2020,adulti,servizi,conoscenza_sapere,0.936
Calabria,2020,adulti,servizi,conoscenza_sapere,-1.461
Campania,2020,adulti,servizi,conoscenza_sapere,-1.29
Emilia-Romagna,2020,adulti,servizi,conoscenza_sapere,0.395
Friuli-Venezia Giulia,2020,adulti,servizi,conoscenza_sapere,1.126
Lazio,2020,adulti,servizi,conoscenza_sapere,0.124
Liguria,2020,adulti,servizi,conoscenza_sapere,0.273
Lombardia,2020,adulti,servizi,conoscenza_sapere,-0.604
Marche,2020,adulti,servizi,conoscenza_sapere,0.671
Molise,2020,adulti,servizi,conoscenza_sapere,1.621
Piemonte,2020,adulti,servizi,conoscenza_sapere,-0.353
Puglia,2020,adulti,servizi,conoscenza_sapere,-1.752
Sardegna,2020,adulti,servizi,conoscenza_sapere,0.115
Sicilia,2020,adulti,servizi,conoscenza_sapere,-1.87
Toscana,2020,adulti,servizi,conoscenza_sapere,1.397
Trentino-Alto Adige/Südtirol,2020,adulti,servizi,conoscenza_sapere,1.084
Umbria,2020,adulti,servizi,conoscenza_sapere,0.304
Valle d'Aosta/Vallée d'Aoste,2020,adulti,servizi,conoscenza_sapere,-0.579
Veneto,2020,adulti,servizi,conoscenza_sapere,-0.294
Abruzzo,2020,adulti,servizi,cura,-0.221
Basilicata,2020,adulti,servizi,cura,-0.164
Calabria,2020,adulti,servizi,cura,-0.743
Campania,2020,adulti,servizi,cura,-0.843
Emilia-Romagna,2020,adulti,servizi,cura,1.694
Friuli-Venezia Giulia,2020,adulti,servizi,cura,-0.27
Lazio,2020,adulti,servizi,cura,-0.162
Liguria,2020,adulti,servizi,cura,0.312
Lombardia,2020,adulti,servizi,cura,-0.046
Marche,2020,adulti,servizi,cura,-0.64
Molise,2020,adulti,servizi,cura,-0.543
Piemonte,2020,adulti,servizi,cura,0.256
Puglia,2020,adulti,servizi,cura,-0.248
Sardegna,2020,adulti,servizi,cura,0.002
Sicilia,2020,adulti,servizi,cura,-0.258
Toscana,2020,adulti,servizi,cura,0.114
Trentino-Alto Adige/Südtirol,2020,adulti,servizi,cura,0.146
Umbria,2020,adulti,servizi,cura,0.575
Valle d'Aosta/Vallée d'Aoste,2020,adulti,servizi,cura,0.634
Veneto,2020,adulti,servizi,cura,0.668
Abruzzo,2020,adulti,servizi,lavorare,-0.568
Basilicata,2020,adulti,servizi,lavorare,-0.727
Calabria,2020,adulti,servizi,lavorare,-0.885
Campania,2020,adulti,servizi,lavorare,-0.807
Emilia-Romagna,2020,adulti,servizi,lavorare,2.148
Friuli-Venezia Giulia,2020,adulti,servizi,lavorare,0.036
Lazio,2020,adulti,servizi,lavorare,-0.559
Liguria,2020,adulti,servizi,lavorare,0.086
Lombardia,2020,adulti,servizi,lavorare,0.309
Marche,2020,adulti,servizi,lavorare,-0.762
Molise,2020,adulti,servizi,lavorare,-0.292
Piemonte,2020,adulti,servizi,lavorare,2.445
Puglia,2020,adulti,servizi,lavorare,-0.54
Sardegna,2020,adulti,servizi,lavorare,1.224
Sicilia,2020,adulti,servizi,lavorare,-0.459
Toscana,2020,adulti,servizi,lavorare,-0.261
Trentino-Alto Adige/Südtirol,2020,adulti,servizi,lavorare,-0.799
Umbria,2020,adulti,servizi,lavorare,-0.438
Valle d'Aosta/Vallée d'Aoste,2020,adulti,servizi,lavorare,-0.756
Veneto,2020,adulti,servizi,lavorare,1.604
Abruzzo,2020,adulti,servizi,vita_sana,-0.154
Basilicata,2020,adulti,servizi,vita_sana,-0.617
Calabria,2020,adulti,servizi,vita_sana,-0.981
Campania,2020,adulti,servizi,vita_sana,-1.147
Emilia-Romagna,2020,adulti,servizi,vita_sana,0.113
Friuli-Venezia Giulia,2020,adulti,servizi,vita_sana,-0.229
Lazio,2020,adulti,servizi,vita_sana,-0.514
Liguria,2020,adulti,servizi,vita_sana,1.287
Lombardia,2020,adulti,servizi,vita_sana,-0.027
Marche,2020,adulti,servizi,vita_sana,0.913
Molise,2020,adulti,servizi,vita_sana,-0.064
Piemonte,2020,adulti,servizi,vita_sana,0.42
Puglia,2020,adulti,servizi,vita_sana,-0.202
Sardegna,2020,adulti,servizi,vita_sana,-0.403
Sicilia,2020,adulti,servizi,vita_sana,-0.853
Toscana,2020,adulti,servizi,vita_sana,0.702
Trentino-Alto Adige/Südtirol,2020,adulti,servizi,vita_sana,0.082
Umbria,2020,adulti,servizi,vita_sana,0.476
Valle d'Aosta/Vallée d'Aoste,2020,adulti,servizi,vita_sana,0.62
Veneto,2020,adulti,servizi,vita_sana,0.577
Abruzzo,2020,adulti,servizi,vita_sicura,0.003
Basilicata,2020,adulti,servizi,vita_sicura,-0.659
Calabria,2020,adulti,servizi,vita_sicura,-0.717
Campania,2020,adulti,servizi,vita_sicura,-0.304
Emilia-Romagna,2020,adulti,servizi,vita_sicura,0.748
Friuli-Venezia Giulia,2020,adulti,servizi,vita_sicura,0.41
Lazio,2020,adulti,servizi,vita_sicura,-0.971
Liguria,2020,adulti,servizi,vita_sicura,0.258
Lombardia,2020,adulti,servizi,vita_sicura,-0.137
Marche,2020,adulti,servizi,vita_sicura,-0.003
Molise,2020,adulti,servizi,vita_sicura,-0.41
Piemonte,2020,adulti,servizi,vita_sicura,-0.717
Puglia,2020,adulti,servizi,vita_sicura,-0.557
Sardegna,2020,adulti,servizi,vita_sicura,0.441
Sicilia,2020,adulti,servizi,vita_sicura,0.198
Toscana,2020,adulti,servizi,vita_sicura,0.223
Trentino-Alto Adige/Südtirol,2020,adulti,servizi,vita_sicura,0.121
Umbria,2020,adulti,servizi,vita_sicura,1.902
Valle d'Aosta/Vallée d'Aoste,2020,adulti,servizi,vita_sicura,0.264
Veneto,2020,adulti,servizi,vita_sicura,-0.095
Abruzzo,2020,bambini,servizi,cura,-0.56
Basilicata,2020,bambini,servizi,cura,-0.251
Calabria,2020,bambini,servizi,cura,-0.809
Campania,2020,bambini,servizi,cura,-1.077
Emilia-Romagna,2020,bambini,servizi,cura,0.392
Friuli-Venezia Giulia,2020,bambini,servizi,cura,0.013
Lazio,2020,bambini,servizi,cura,-0.742
Liguria,2020,bambini,servizi,cura,1.141
Lombardia,2020,bambini,servizi,cura,-0.269
Marche,2020,bambini,servizi,cura,0.071
Molise,2020,bambini,servizi,cura,-0.211
Piemonte,2020,bambini,servizi,cura,0.83
Puglia,2020,bambini,servizi,cura,-0.663
Sardegna,2020,bambini,servizi,cura,0.323
Sicilia,2020,bambini,servizi,cura,-0.276
Toscana,2020,bambini,servizi,cura,0.324
Trentino-Alto Adige/Südtirol,2020,bambini,servizi,cura,0.044
Umbria,2020,bambini,servizi,cura,0.612
Valle d'Aosta/Vallée d'Aoste,2020,bambini,servizi,cura,0.694
Veneto,2020,bambini,servizi,cura,0.414
Abruzzo,2020,bambini,servizi,vita_sana,0.287
Basilicata,2020,bambini,servizi,vita_sana,-0.133
Calabria,2020,bambini,servizi,vita_sana,-0.091
Campania,2020,bambini,servizi,vita_sana,-0.706
Emilia-Romagna,2020,bambini,servizi,vita_sana,0.386
Friuli-Venezia Giulia,2020,bambini,servizi,vita_sana,-0.932
Lazio,2020,bambini,servizi,vita_sana,0.256
Liguria,2020,bambini,servizi,vita_sana,0.115
Lombardia,2020,bambini,servizi,vita_sana,-0.833
Marche,2020,bambini,servizi,vita_sana,-0.484
Molise,2020,bambini,servizi,vita_sana,-0.093
Piemonte,2020,bambini,servizi,vita_sana,-0.995
Puglia,2020,bambini,servizi,vita_sana,0.342
Sardegna,2020,bambini,servizi,vita_sana,1.219
Sicilia,2020,bambini,servizi,vita_sana,0.259
Toscana,2020,bambini,servizi,vita_sana,1.131
Trentino-Alto Adige/Südtirol,2020,bambini,servizi,vita_sana,-0.4
Umbria,2020,bambini,servizi,vita_sana,-0.025
Valle d'Aosta/Vallée d'Aoste,2020,bambini,servizi,vita_sana,1.217
Veneto,2020,bambini,servizi,vita_sana,-0.521
Abruzzo,2020,totale,servizi,totale,-0.246
Basilicata,2020,totale,servizi,totale,-0.306
Calabria,2020,totale,servizi,totale,-0.807
Campania,2020,totale,servizi,totale,-0.886
Emilia-Romagna,2020,totale,servizi,totale,0.878
Friuli-Venezia Giulia,2020,totale,servizi,totale,0.214
Lazio,2020,totale,servizi,totale,-0.346
Liguria,2020,totale,servizi,totale,0.378
Lombardia,2020,totale,servizi,totale,-0.177
Marche,2020,totale,servizi,totale,0.002
Molise,2020,totale,servizi,totale,-0.036
Piemonte,2020,totale,servizi,totale,0.263
Puglia,2020,totale,servizi,totale,-0.529
Sardegna,2020,totale,servizi,totale,0.397
Sicilia,2020,totale,servizi,totale,-0.523
Toscana,2020,totale,servizi,totale,0.469
Trentino-Alto Adige/Südtirol,2020,totale,servizi,totale,0.346
Umbria,2020,totale,servizi,totale,0.399
Valle d'Aosta/Vallée d'Aoste,2020,totale,servizi,totale,0.157
Veneto,2020,totale,servizi,totale,0.385
Abruzzo,2020,totale,totale,totale,-0.232
Basilicata,2020,totale,totale,totale,-0.363
Calabria,2020,totale,totale,totale,-0.895
Campania,2020,totale,totale,totale,-1.094
Emilia-Romagna,2020,totale,totale,totale,0.774
Friuli-Venezia Giulia,2020,totale,totale,totale,0.506
Lazio,2020,totale,totale,totale,-0.213
Liguria,2020,totale,totale,totale,0.357
Lombardia,2020,totale,totale,totale,0.185
Marche,2020,totale,totale,totale,0.075
Molise,2020,totale,totale,totale,-0.141
Piemonte,2020,totale,totale,totale,0.322
Puglia,2020,totale,totale,totale,-0.678
Sardegna,2020,totale,totale,totale,0.023
Sicilia,2020,totale,totale,totale,-0.816
Toscana,2020,totale,totale,totale,0.391
Trentino-Alto Adige/Südtirol,2020,totale,totale,totale,0.699
Umbria,2020,totale,totale,totale,0.287
Valle d'Aosta/Vallée d'Aoste,2020,totale,totale,totale,0.271
Veneto,2020,totale,totale,totale,0.505
Abruzzo,2021,adulti,rischio,accedere_risorse,-0.929
Basilicata,2021,adulti,rischio,accedere_risorse,0.195
Calabria,2021,adulti,rischio,accedere_risorse,-0.09
Campania,2021,adulti,rischio,accedere_risorse,-1.813
Emilia-Romagna,2021,adulti,rischio,accedere_risorse,0.485
Friuli-Venezia Giulia,2021,adulti,rischio,accedere_risorse,0.728
Lazio,2021,adulti,rischio,accedere_risorse,-0.044
Liguria,2021,adulti,rischio,accedere_risorse,0.305
Lombardia,2021,adulti,rischio,accedere_risorse,0.228
Marche,2021,adulti,rischio,accedere_risorse,0.163
Molise,2021,adulti,rischio,accedere_risorse,-0.601
Piemonte,2021,adulti,rischio,accedere_risorse,0.326
Puglia,2021,adulti,rischio,accedere_risorse,-0.483
Sardegna,2021,adulti,rischio,accedere_risorse,0.156
Sicilia,2021,adulti,rischio,accedere_risorse,-1.316
Toscana,2021,adulti,rischio,accedere_risorse,0.533
Trentino-Alto Adige/Südtirol,2021,adulti,rischio,accedere_risorse,0.542
Umbria,2021,adulti,rischio,accedere_risorse,0.507
Valle d'Aosta/Vallée d'Aoste,2021,adulti,rischio,accedere_risorse,0.479
Veneto,2021,adulti,rischio,accedere_risorse,0.631
Abruzzo,2021,adulti,rischio,conoscenza_sapere,0.419
Basilicata,2021,adulti,rischio,conoscenza_sapere,-0.117
Calabria,2021,adulti,rischio,conoscenza_sapere,-1.905
Campania,2021,adulti,rischio,conoscenza_sapere,-1.592
Emilia-Romagna,2021,adulti,rischio,conoscenza_sapere,0.871
Friuli-Venezia Giulia,2021,adulti,rischio,conoscenza_sapere,0.698
Lazio,2021,adulti,rischio,conoscenza_sapere,1.01
Liguria,2021,adulti,rischio,conoscenza_sapere,0.914
Lombardia,2021,adulti,rischio,conoscenza_sapere,0.772
Marche,2021,adulti,rischio,conoscenza_sapere,0.362
Molise,2021,adulti,rischio,conoscenza_sapere,-0.268
Piemonte,2021,adulti,rischio,conoscenza_sapere,0.005
Puglia,2021,adulti,rischio,conoscenza_sapere,-1.59
Sardegna,2021,adulti,rischio,conoscenza_sapere,-0.774
Sicilia,2021,adulti,rischio,conoscenza_sapere,-1.578
Toscana,2021,adulti,rischio,conoscenza_sapere,0.074
Trentino-Alto Adige/Südtirol,2021,adulti,rischio,conoscenza_sapere,1.199
Umbria,2021,adulti,rischio,conoscenza_sapere,0.702
