year,title,description,pdf_file,cover_image
2018,"LiberiTutti","Breve descrizione del report 2018.",report_2018.pdf,cover_2018.jpg
2019,"L'ombra della povertà","Breve descrizione del report 2019.",report_2019.pdf,cover_2019.jpg
2020,"Restituire il futuro","Breve descrizione del report 2020.",report_2020.pdf,cover_2020.jpg
2021,"Il tempo della cura","Breve descrizione del report 2021.",report_2021.pdf,cover_2021.jpg
2022,"Crescere al sicuro","Breve descrizione del report 2022.",report_2022.pdf,cover_2022.jpg
2024,"Le parole sono importanti","Breve descrizione del report 2024.",report_2024.pdf,cover_2024.jpg
2026,"Generazione sola","Breve descrizione del report 2026.",report_2026.pdf,cover_2026.jpg
